Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787511603,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787511604,10,,Aggregated,0.000000,0.000000,14,17,19,20,23,26,28,30,33,33,33,310,2,14,14.998127739771359,3.9706999668851495,33.31100009381771,1495.0548387096774
1787511605,20,,Aggregated,0.000000,0.000000,29,38,42,46,53,59,63,68,76,76,76,642,7,29,29.648184890364156,3.9706999668851495,75.60129999183118,1502.8380062305296
1787511606,20,,Aggregated,309.000000,2.000000,36,42,47,50,56,60,65,69,84,84,84,978,7,36,34.62417781267769,3.9706999668851495,84.14709998760372,1543.064417177914
1787511607,20,,Aggregated,321.000000,3.500000,39,44,49,51,57,61,66,70,78,84,84,1308,13,39,37.03192423518949,3.9706999668851495,84.14709998760372,1527.9655963302753
