Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items [GET],358,0,37,34.31689552605079,5.1426999270915985,90.64319997560233,4337.1424581005585,89.4605465779227,0.0,37,41,43,44,48,56,63,69,91,91,91
GET,/items/:id [GET],348,0,34,31.392508909981377,4.061299958266318,90.62439994886518,214.79597701149424,86.96164862881871,0.0,35,38,40,41,45,49,56,59,91,91,91
POST,/items/:id/reserve [POST],419,17,47,43.5439732702569,4.867299925535917,92.86360000260174,166.7852028639618,104.70382406745702,4.248126513476776,47,51,55,57,63,69,75,82,93,93,93
GET,/metrics/consistency [GET],53,0,48,45.25092830178591,11.855899938382208,90.56769998278469,4397.075471698113,13.244159130251125,0.0,48,53,56,56,62,74,77,91,91,91,91
POST,/reservations/:id/release [POST],110,0,53,49.57886181814088,10.234900051727891,80.85710008163005,123.49090909090908,27.487877440143848,0.0,54,59,61,62,66,71,73,80,81,81,81
,Aggregated,1288,17,40,38.2817861018847,4.061299958266318,92.86360000260174,1509.2841614906831,321.8580558445934,4.248126513476776,40,46,49,52,59,63,72,77,92,93,93
