Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787511616,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787511617,10,,Aggregated,0.000000,0.000000,15,19,21,22,24,26,28,30,39,39,39,311,3,15,15.705755628402857,4.061299958266318,38.92309998627752,1448.1382636655949
1787511618,20,,Aggregated,0.000000,0.000000,27,40,45,49,59,63,73,91,93,93,93,624,6,27,31.431575642692714,4.061299958266318,92.86360000260174,1606.3942307692307
1787511619,20,,Aggregated,116.000000,1.000000,38,44,48,51,59,63,73,81,93,93,93,954,12,38,36.121165094822956,4.061299958266318,92.86360000260174,1523.5733752620545
1787511620,20,,Aggregated,212.000000,1.500000,40,46,49,52,59,63,72,77,92,93,93,1288,17,40,38.2817861018847,4.061299958266318,92.86360000260174,1509.2841614906831
