query,unindexed_node_type,indexed_node_type,unindexed_cost,indexed_cost,unindexed_exec_time_ms,indexed_exec_time_ms,speedup_percentage,baseline_plan_file,indexed_plan_file
active_reservations_by_item,Bitmap Heap Scan,Bitmap Heap Scan,153.23,146.93,0.161,0.157,2.48,query_plan_active_reservations_by_item_unindexed.json,query_plan_active_reservations_by_item_indexed.json
sku_lookup,Index Scan,Seq Scan,8.17,3.25,0.019,0.02,-5.26,query_plan_sku_lookup_unindexed.json,query_plan_sku_lookup_indexed.json
