item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,93,107,30,93,True,[]
2,SKU-BENCH-0002,200,121,79,54,121,True,[]
3,SKU-BENCH-0003,200,97,103,41,97,True,[]
4,SKU-BENCH-0004,200,87,113,19,87,True,[]
5,SKU-BENCH-0005,200,117,83,39,117,True,[]
6,SKU-BENCH-0006,200,107,93,21,107,True,[]
7,SKU-BENCH-0007,200,141,59,20,141,True,[]
8,SKU-BENCH-0008,200,86,114,25,86,True,[]
9,SKU-BENCH-0009,200,105,95,46,105,True,[]
10,SKU-BENCH-0010,200,94,106,20,94,True,[]
11,SKU-BENCH-0011,200,127,73,21,127,True,[]
12,SKU-BENCH-0012,200,118,82,44,118,True,[]
13,SKU-BENCH-0013,200,88,112,37,88,True,[]
14,SKU-BENCH-0014,200,128,72,35,128,True,[]
15,SKU-BENCH-0015,200,124,76,33,124,True,[]
16,SKU-BENCH-0016,200,131,69,31,131,True,[]
17,SKU-BENCH-0017,200,100,100,31,100,True,[]
18,SKU-BENCH-0018,200,90,110,41,90,True,[]
19,SKU-BENCH-0019,200,119,81,41,119,True,[]
20,SKU-BENCH-0020,200,87,113,33,87,True,[]
