item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,116,84,20,116,True,[]
2,SKU-BENCH-0002,200,123,77,49,123,True,[]
3,SKU-BENCH-0003,200,87,113,35,87,True,[]
4,SKU-BENCH-0004,200,103,97,40,103,True,[]
5,SKU-BENCH-0005,200,124,76,26,124,True,[]
6,SKU-BENCH-0006,200,130,70,31,130,True,[]
7,SKU-BENCH-0007,200,115,85,34,115,True,[]
8,SKU-BENCH-0008,200,108,92,28,108,True,[]
9,SKU-BENCH-0009,200,102,98,48,102,True,[]
10,SKU-BENCH-0010,200,119,81,39,119,True,[]
11,SKU-BENCH-0011,200,121,79,37,121,True,[]
12,SKU-BENCH-0012,200,106,94,29,106,True,[]
13,SKU-BENCH-0013,200,88,112,33,88,True,[]
14,SKU-BENCH-0014,200,126,74,26,126,True,[]
15,SKU-BENCH-0015,200,107,93,35,107,True,[]
16,SKU-BENCH-0016,200,122,78,16,122,True,[]
17,SKU-BENCH-0017,200,100,100,49,100,True,[]
18,SKU-BENCH-0018,200,113,87,46,113,True,[]
19,SKU-BENCH-0019,200,122,78,28,122,True,[]
20,SKU-BENCH-0020,200,112,88,39,112,True,[]
