item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,124,76,18,124,True,[]
2,SKU-BENCH-0002,200,118,82,44,118,True,[]
3,SKU-BENCH-0003,200,99,101,26,99,True,[]
4,SKU-BENCH-0004,200,112,88,35,112,True,[]
5,SKU-BENCH-0005,200,86,114,45,86,True,[]
6,SKU-BENCH-0006,200,107,93,42,107,True,[]
7,SKU-BENCH-0007,200,123,77,43,123,True,[]
8,SKU-BENCH-0008,200,91,109,30,91,True,[]
9,SKU-BENCH-0009,200,86,114,26,86,True,[]
10,SKU-BENCH-0010,200,99,101,37,99,True,[]
11,SKU-BENCH-0011,200,133,67,29,133,True,[]
12,SKU-BENCH-0012,200,100,100,31,100,True,[]
13,SKU-BENCH-0013,200,109,91,26,109,True,[]
14,SKU-BENCH-0014,200,99,101,44,99,True,[]
15,SKU-BENCH-0015,200,109,91,62,109,True,[]
16,SKU-BENCH-0016,200,106,94,33,106,True,[]
17,SKU-BENCH-0017,200,105,95,39,105,True,[]
18,SKU-BENCH-0018,200,111,89,38,111,True,[]
19,SKU-BENCH-0019,200,75,125,26,75,True,[]
20,SKU-BENCH-0020,200,83,117,37,83,True,[]
