item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,122,78,27,122,True,[]
2,SKU-BENCH-0002,200,100,100,41,100,True,[]
3,SKU-BENCH-0003,200,132,68,23,132,True,[]
4,SKU-BENCH-0004,200,93,107,32,93,True,[]
5,SKU-BENCH-0005,200,104,96,33,104,True,[]
6,SKU-BENCH-0006,200,132,68,44,132,True,[]
7,SKU-BENCH-0007,200,131,69,19,131,True,[]
8,SKU-BENCH-0008,200,112,88,34,112,True,[]
9,SKU-BENCH-0009,200,97,103,20,97,True,[]
10,SKU-BENCH-0010,200,109,91,21,109,True,[]
11,SKU-BENCH-0011,200,111,89,14,111,True,[]
12,SKU-BENCH-0012,200,101,99,24,101,True,[]
13,SKU-BENCH-0013,200,140,60,48,140,True,[]
14,SKU-BENCH-0014,200,120,80,36,120,True,[]
15,SKU-BENCH-0015,200,112,88,33,112,True,[]
16,SKU-BENCH-0016,200,107,93,30,107,True,[]
17,SKU-BENCH-0017,200,102,98,21,102,True,[]
18,SKU-BENCH-0018,200,116,84,37,116,True,[]
19,SKU-BENCH-0019,200,113,87,32,113,True,[]
20,SKU-BENCH-0020,200,112,88,27,112,True,[]
21,SKU-CONCUR-atomic_update,40,0,40,0,0,True,[]
22,SKU-CONCUR-pessimistic_lock,40,0,40,0,0,True,[]
