item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,172,28,25,172,True,[]
2,SKU-BENCH-0002,200,183,17,18,183,True,[]
3,SKU-BENCH-0003,200,174,26,10,174,True,[]
4,SKU-BENCH-0004,200,158,42,10,158,True,[]
5,SKU-BENCH-0005,200,166,34,15,166,True,[]
6,SKU-BENCH-0006,200,154,46,8,154,True,[]
7,SKU-BENCH-0007,200,180,20,11,180,True,[]
8,SKU-BENCH-0008,200,164,36,15,164,True,[]
9,SKU-BENCH-0009,200,172,28,11,172,True,[]
10,SKU-BENCH-0010,200,174,26,7,174,True,[]
11,SKU-BENCH-0011,200,167,33,10,167,True,[]
12,SKU-BENCH-0012,200,169,31,23,169,True,[]
13,SKU-BENCH-0013,200,157,43,14,157,True,[]
14,SKU-BENCH-0014,200,167,33,13,167,True,[]
15,SKU-BENCH-0015,200,175,25,8,175,True,[]
16,SKU-BENCH-0016,200,164,36,6,164,True,[]
17,SKU-BENCH-0017,200,173,27,10,173,True,[]
18,SKU-BENCH-0018,200,172,28,19,172,True,[]
19,SKU-BENCH-0019,200,187,13,12,187,True,[]
20,SKU-BENCH-0020,200,179,21,13,179,True,[]
