Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items [GET],1024,0,320,321.78445605643446,49.100999953225255,749.3128000060096,4340.84375,73.02372030821448,0.0,320,330,370,380,430,460,530,620,710,750,750
GET,/items/:id [GET],1029,0,310,323.526649562546,54.689800017513335,920.0431000208482,214.94169096209913,73.38028144253192,0.0,310,330,370,380,440,480,540,600,730,920,920
POST,/items/:id/reserve [POST],1297,41,330,344.94859013299305,81.80270006414503,870.9317999891937,167.2744795682344,92.49195824194743,2.9238013014031186,330,350,390,400,460,510,610,740,860,870,870
GET,/metrics/consistency [GET],161,0,330,329.8747298070548,123.32110002171248,806.5440999343991,4409.819875776398,11.481268525022003,0.0,330,340,350,380,410,470,530,600,810,810,810
POST,/reservations/:id/release [POST],318,0,330,351.02845754535906,152.1723000332713,637.5225998926908,123.43396226415095,22.67728814259004,0.0,340,360,390,410,460,540,600,610,640,640,640
,Aggregated,3829,41,330,332.86795711739376,49.100999953225255,920.0431000208482,1470.981196134761,273.05451666030586,2.9238013014031186,330,340,380,390,440,490,570,620,850,920,920
