item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,129,71,30,129,True,[]
2,SKU-BENCH-0002,200,111,89,35,111,True,[]
3,SKU-BENCH-0003,200,106,94,35,106,True,[]
4,SKU-BENCH-0004,200,132,68,48,132,True,[]
5,SKU-BENCH-0005,200,130,70,24,130,True,[]
6,SKU-BENCH-0006,200,92,108,35,92,True,[]
7,SKU-BENCH-0007,200,108,92,46,108,True,[]
8,SKU-BENCH-0008,200,135,65,43,135,True,[]
9,SKU-BENCH-0009,200,113,87,38,113,True,[]
10,SKU-BENCH-0010,200,134,66,49,134,True,[]
11,SKU-BENCH-0011,200,110,90,32,110,True,[]
12,SKU-BENCH-0012,200,127,73,47,127,True,[]
13,SKU-BENCH-0013,200,116,84,37,116,True,[]
14,SKU-BENCH-0014,200,119,81,29,119,True,[]
15,SKU-BENCH-0015,200,128,72,41,128,True,[]
16,SKU-BENCH-0016,200,125,75,29,125,True,[]
17,SKU-BENCH-0017,200,101,99,31,101,True,[]
18,SKU-BENCH-0018,200,95,105,33,95,True,[]
19,SKU-BENCH-0019,200,86,114,31,86,True,[]
20,SKU-BENCH-0020,200,127,73,35,127,True,[]
