item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,93,107,29,93,True,[]
2,SKU-BENCH-0002,200,93,107,32,93,True,[]
3,SKU-BENCH-0003,200,104,96,37,104,True,[]
4,SKU-BENCH-0004,200,117,83,40,117,True,[]
5,SKU-BENCH-0005,200,99,101,35,99,True,[]
6,SKU-BENCH-0006,200,102,98,39,102,True,[]
7,SKU-BENCH-0007,200,121,79,30,121,True,[]
8,SKU-BENCH-0008,200,103,97,45,103,True,[]
9,SKU-BENCH-0009,200,84,116,32,84,True,[]
10,SKU-BENCH-0010,200,96,104,47,96,True,[]
11,SKU-BENCH-0011,200,84,116,29,84,True,[]
12,SKU-BENCH-0012,200,112,88,41,112,True,[]
13,SKU-BENCH-0013,200,94,106,28,94,True,[]
14,SKU-BENCH-0014,200,110,90,57,110,True,[]
15,SKU-BENCH-0015,200,95,105,20,95,True,[]
16,SKU-BENCH-0016,200,106,94,34,106,True,[]
17,SKU-BENCH-0017,200,89,111,43,89,True,[]
18,SKU-BENCH-0018,200,62,138,45,62,True,[]
19,SKU-BENCH-0019,200,108,92,36,108,True,[]
20,SKU-BENCH-0020,200,99,101,35,99,True,[]
