item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,134,66,30,134,True,[]
2,SKU-BENCH-0002,200,156,44,15,156,True,[]
3,SKU-BENCH-0003,200,139,61,16,139,True,[]
4,SKU-BENCH-0004,200,144,56,12,144,True,[]
5,SKU-BENCH-0005,200,139,61,24,139,True,[]
6,SKU-BENCH-0006,200,155,45,27,155,True,[]
7,SKU-BENCH-0007,200,131,69,27,131,True,[]
8,SKU-BENCH-0008,200,136,64,25,136,True,[]
9,SKU-BENCH-0009,200,149,51,24,149,True,[]
10,SKU-BENCH-0010,200,134,66,14,134,True,[]
11,SKU-BENCH-0011,200,146,54,11,146,True,[]
12,SKU-BENCH-0012,200,130,70,17,130,True,[]
13,SKU-BENCH-0013,200,141,59,31,141,True,[]
14,SKU-BENCH-0014,200,150,50,19,150,True,[]
15,SKU-BENCH-0015,200,118,82,17,118,True,[]
16,SKU-BENCH-0016,200,157,43,10,157,True,[]
17,SKU-BENCH-0017,200,133,67,10,133,True,[]
18,SKU-BENCH-0018,200,132,68,21,132,True,[]
19,SKU-BENCH-0019,200,151,49,16,151,True,[]
20,SKU-BENCH-0020,200,161,39,10,161,True,[]
