Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items [GET],1128,0,150,141.6652505326288,43.88609994202852,293.39240002445877,4341.45744680851,80.39950554857583,0.0,150,150,150,160,160,170,180,200,280,290,290
GET,/items/:id [GET],1141,0,140,138.42654715450914,39.15790002793074,297.34910000115633,214.94653812445225,81.32609559479168,0.0,140,150,150,150,160,160,180,190,270,300,300
POST,/items/:id/reserve [POST],1296,38,160,159.49493919946195,51.23069998808205,338.48789997864515,167.28240740740742,92.37389999198074,2.708493981246349,160,170,170,180,180,190,200,220,260,340,340
GET,/metrics/consistency [GET],178,0,160,157.37041460841976,47.29930008761585,302.7369000483304,4414.140449438202,12.687156017417108,0.0,160,160,170,170,180,190,200,200,300,300,300
POST,/reservations/:id/release [POST],332,0,170,164.9943153638286,65.68909995257854,228.93720003776252,123.3132530120482,23.66368425720494,0.0,170,170,180,180,190,190,200,220,230,230,230
,Aggregated,4075,38,150,149.0156026031148,39.15790002793074,338.48789997864515,1518.005644171779,290.4503414099703,2.708493981246349,150,160,160,170,180,190,200,210,280,340,340
