item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,99,101,24,99,True,[]
2,SKU-BENCH-0002,200,87,113,63,87,True,[]
3,SKU-BENCH-0003,200,119,81,56,119,True,[]
4,SKU-BENCH-0004,200,109,91,32,109,True,[]
5,SKU-BENCH-0005,200,99,101,27,99,True,[]
6,SKU-BENCH-0006,200,107,93,41,107,True,[]
7,SKU-BENCH-0007,200,105,95,39,105,True,[]
8,SKU-BENCH-0008,200,92,108,30,92,True,[]
9,SKU-BENCH-0009,200,96,104,38,96,True,[]
10,SKU-BENCH-0010,200,109,91,31,109,True,[]
11,SKU-BENCH-0011,200,91,109,22,91,True,[]
12,SKU-BENCH-0012,200,108,92,42,108,True,[]
13,SKU-BENCH-0013,200,129,71,41,129,True,[]
14,SKU-BENCH-0014,200,100,100,49,100,True,[]
15,SKU-BENCH-0015,200,66,134,49,66,True,[]
16,SKU-BENCH-0016,200,121,79,43,121,True,[]
17,SKU-BENCH-0017,200,119,81,27,119,True,[]
18,SKU-BENCH-0018,200,129,71,39,129,True,[]
19,SKU-BENCH-0019,200,118,82,27,118,True,[]
20,SKU-BENCH-0020,200,116,84,30,116,True,[]
