item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,148,52,16,148,True,[]
2,SKU-BENCH-0002,200,155,45,24,155,True,[]
3,SKU-BENCH-0003,200,163,37,31,163,True,[]
4,SKU-BENCH-0004,200,156,44,16,156,True,[]
5,SKU-BENCH-0005,200,157,43,42,157,True,[]
6,SKU-BENCH-0006,200,156,44,32,156,True,[]
7,SKU-BENCH-0007,200,150,50,24,150,True,[]
8,SKU-BENCH-0008,200,152,48,12,152,True,[]
9,SKU-BENCH-0009,200,160,40,17,160,True,[]
10,SKU-BENCH-0010,200,134,66,20,134,True,[]
11,SKU-BENCH-0011,200,155,45,18,155,True,[]
12,SKU-BENCH-0012,200,140,60,19,140,True,[]
13,SKU-BENCH-0013,200,145,55,29,145,True,[]
14,SKU-BENCH-0014,200,156,44,26,156,True,[]
15,SKU-BENCH-0015,200,173,27,29,173,True,[]
16,SKU-BENCH-0016,200,164,36,14,164,True,[]
17,SKU-BENCH-0017,200,153,47,18,153,True,[]
18,SKU-BENCH-0018,200,129,71,23,129,True,[]
19,SKU-BENCH-0019,200,144,56,22,144,True,[]
20,SKU-BENCH-0020,200,171,29,15,171,True,[]
