Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787511575,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787511576,5,,Aggregated,0.000000,0.000000,8,11,12,12,14,16,18,29,31,31,31,183,4,8,9.332291257079142,3.2650999492034316,31.012100051157176,1382.6939890710382
1787511577,5,,Aggregated,0.000000,0.000000,9,11,12,13,15,16,17,19,31,31,31,353,4,9,9.72108555220268,3.2650999492034316,31.012100051157176,1580.1954674220963
1787511578,5,,Aggregated,33.000000,0.000000,10,11,12,13,15,16,17,18,31,31,31,534,6,10,9.74100505739576,3.2205000752583146,31.012100051157176,1477.9157303370787
1787511579,5,,Aggregated,107.000000,2.000000,10,11,12,13,15,16,17,18,31,31,31,710,9,10,9.710486339155953,3.2205000752583146,31.012100051157176,1479.4225352112676
