item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,80,120,30,80,True,[]
2,SKU-BENCH-0002,200,107,93,32,107,True,[]
3,SKU-BENCH-0003,200,95,105,48,95,True,[]
4,SKU-BENCH-0004,200,110,90,14,110,True,[]
5,SKU-BENCH-0005,200,85,115,34,85,True,[]
6,SKU-BENCH-0006,200,111,89,32,111,True,[]
7,SKU-BENCH-0007,200,106,94,37,106,True,[]
8,SKU-BENCH-0008,200,135,65,31,135,True,[]
9,SKU-BENCH-0009,200,113,87,56,113,True,[]
10,SKU-BENCH-0010,200,102,98,38,102,True,[]
11,SKU-BENCH-0011,200,113,87,26,113,True,[]
12,SKU-BENCH-0012,200,118,82,38,118,True,[]
13,SKU-BENCH-0013,200,75,125,33,75,True,[]
14,SKU-BENCH-0014,200,150,50,35,150,True,[]
15,SKU-BENCH-0015,200,114,86,30,114,True,[]
16,SKU-BENCH-0016,200,118,82,38,118,True,[]
17,SKU-BENCH-0017,200,114,86,40,114,True,[]
18,SKU-BENCH-0018,200,129,71,28,129,True,[]
19,SKU-BENCH-0019,200,106,94,34,106,True,[]
20,SKU-BENCH-0020,200,106,94,37,106,True,[]
