Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items [GET],1480,0,250,249.8801030399517,42.75749996304512,825.7000000448897,430.10472972972974,105.40980314221429,0.0,250,260,260,270,280,300,330,350,770,830,830
GET,/items/:id [GET],1498,1348,240,238.56539960057836,43.59889996703714,798.1241000816226,83.00734312416556,106.69181426151148,96.00838826736815,240,240,250,250,270,280,310,320,800,800,800
POST,/items/:id/reserve [POST],1781,1647,240,244.48420668177982,43.515700032003224,853.592700092122,80.75687815833801,126.84787797046192,117.30401741569386,240,250,260,260,270,300,310,360,850,850,850
GET,/metrics/consistency [GET],235,0,260,263.65614936419547,47.092300024814904,443.24440008495003,620.5957446808511,16.737367390824566,0.0,260,270,280,280,290,310,340,350,440,440,440
POST,/reservations/:id/release [POST],92,0,270,270.7620293405616,169.50980003457516,320.4688999103382,118.42391304347827,6.552501276407915,0.0,270,280,290,290,300,310,320,320,320,320,320
,Aggregated,5086,2995,240,245.67227585547823,42.75749996304512,853.592700092122,208.70290994887927,362.2393640414202,213.312405683062,240,250,260,260,280,300,320,340,770,850,850
