Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items [GET],1134,0,45,44.05674973543408,6.675300071947277,117.06429999321699,4341.6640211640215,80.84300527537607,0.0,45,48,50,52,56,58,63,69,120,120,120
GET,/items/:id [GET],1135,0,41,40.56806431771441,4.3252999894320965,112.60580003727227,214.9691629955947,80.91429540348486,0.0,41,45,47,48,52,56,62,66,110,110,110
POST,/items/:id/reserve [POST],1288,39,60,58.41925341655104,6.526099983602762,132.97279994003475,167.26708074534162,91.82168500413084,2.780314996243092,60,64,67,69,75,78,83,88,130,130,130
GET,/metrics/consistency [GET],196,0,57,55.438359692094046,13.22770002298057,85.48089989926666,4412.591836734694,13.972865109324259,0.0,57,60,64,66,70,72,77,80,85,85,85
POST,/reservations/:id/release [POST],348,0,63,63.031279879699774,10.286499978974462,129.72790002822876,123.45689655172414,24.80896458186144,0.0,63,67,71,74,79,84,90,95,130,130,130
,Aggregated,4101,39,49,49.75613496681097,4.3252999894320965,132.97279994003475,1533.9448914898805,292.3608153741775,2.780314996243092,49,56,59,62,69,75,81,86,130,130,130
