item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,157,43,18,157,True,[]
2,SKU-BENCH-0002,200,140,60,33,140,True,[]
3,SKU-BENCH-0003,200,158,42,30,158,True,[]
4,SKU-BENCH-0004,200,156,44,21,156,True,[]
5,SKU-BENCH-0005,200,176,24,24,176,True,[]
6,SKU-BENCH-0006,200,147,53,13,147,True,[]
7,SKU-BENCH-0007,200,163,37,31,163,True,[]
8,SKU-BENCH-0008,200,157,43,34,157,True,[]
9,SKU-BENCH-0009,200,154,46,22,154,True,[]
10,SKU-BENCH-0010,200,133,67,16,133,True,[]
11,SKU-BENCH-0011,200,159,41,22,159,True,[]
12,SKU-BENCH-0012,200,173,27,18,173,True,[]
13,SKU-BENCH-0013,200,152,48,30,152,True,[]
14,SKU-BENCH-0014,200,155,45,25,155,True,[]
15,SKU-BENCH-0015,200,155,45,28,155,True,[]
16,SKU-BENCH-0016,200,153,47,18,153,True,[]
17,SKU-BENCH-0017,200,171,29,17,171,True,[]
18,SKU-BENCH-0018,200,155,45,21,155,True,[]
19,SKU-BENCH-0019,200,143,57,12,143,True,[]
20,SKU-BENCH-0020,200,152,48,39,152,True,[]
