item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,96,104,40,96,True,[]
2,SKU-BENCH-0002,200,114,86,38,114,True,[]
3,SKU-BENCH-0003,200,89,111,29,89,True,[]
4,SKU-BENCH-0004,200,117,83,35,117,True,[]
5,SKU-BENCH-0005,200,78,122,26,78,True,[]
6,SKU-BENCH-0006,200,111,89,31,111,True,[]
7,SKU-BENCH-0007,200,125,75,59,125,True,[]
8,SKU-BENCH-0008,200,134,66,39,134,True,[]
9,SKU-BENCH-0009,200,103,97,61,103,True,[]
10,SKU-BENCH-0010,200,100,100,53,100,True,[]
11,SKU-BENCH-0011,200,93,107,28,93,True,[]
12,SKU-BENCH-0012,200,104,96,37,104,True,[]
13,SKU-BENCH-0013,200,135,65,44,135,True,[]
14,SKU-BENCH-0014,200,127,73,40,127,True,[]
15,SKU-BENCH-0015,200,108,92,17,108,True,[]
16,SKU-BENCH-0016,200,120,80,36,120,True,[]
17,SKU-BENCH-0017,200,111,89,34,111,True,[]
18,SKU-BENCH-0018,200,113,87,26,113,True,[]
19,SKU-BENCH-0019,200,116,84,32,116,True,[]
20,SKU-BENCH-0020,200,124,76,45,124,True,[]
