item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,132,68,24,132,True,[]
2,SKU-BENCH-0002,200,102,98,36,102,True,[]
3,SKU-BENCH-0003,200,86,114,46,86,True,[]
4,SKU-BENCH-0004,200,111,89,36,111,True,[]
5,SKU-BENCH-0005,200,80,120,39,80,True,[]
6,SKU-BENCH-0006,200,118,82,36,118,True,[]
7,SKU-BENCH-0007,200,122,78,21,122,True,[]
8,SKU-BENCH-0008,200,128,72,46,128,True,[]
9,SKU-BENCH-0009,200,123,77,40,123,True,[]
10,SKU-BENCH-0010,200,109,91,35,109,True,[]
11,SKU-BENCH-0011,200,104,96,35,104,True,[]
12,SKU-BENCH-0012,200,125,75,22,125,True,[]
13,SKU-BENCH-0013,200,99,101,24,99,True,[]
14,SKU-BENCH-0014,200,124,76,25,124,True,[]
15,SKU-BENCH-0015,200,88,112,47,88,True,[]
16,SKU-BENCH-0016,200,102,98,52,102,True,[]
17,SKU-BENCH-0017,200,107,93,30,107,True,[]
18,SKU-BENCH-0018,200,128,72,44,128,True,[]
19,SKU-BENCH-0019,200,96,104,52,96,True,[]
20,SKU-BENCH-0020,200,123,77,29,123,True,[]
