item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,123,77,14,123,True,[]
2,SKU-BENCH-0002,200,137,63,25,137,True,[]
3,SKU-BENCH-0003,200,139,61,20,139,True,[]
4,SKU-BENCH-0004,200,154,46,26,154,True,[]
5,SKU-BENCH-0005,200,155,45,21,155,True,[]
6,SKU-BENCH-0006,200,149,51,22,149,True,[]
7,SKU-BENCH-0007,200,134,66,15,134,True,[]
8,SKU-BENCH-0008,200,145,55,27,145,True,[]
9,SKU-BENCH-0009,200,148,52,24,148,True,[]
10,SKU-BENCH-0010,200,149,51,13,149,True,[]
11,SKU-BENCH-0011,200,142,58,23,142,True,[]
12,SKU-BENCH-0012,200,152,48,17,152,True,[]
13,SKU-BENCH-0013,200,151,49,31,151,True,[]
14,SKU-BENCH-0014,200,156,44,10,156,True,[]
15,SKU-BENCH-0015,200,137,63,23,137,True,[]
16,SKU-BENCH-0016,200,155,45,13,155,True,[]
17,SKU-BENCH-0017,200,150,50,29,150,True,[]
18,SKU-BENCH-0018,200,152,48,20,152,True,[]
19,SKU-BENCH-0019,200,138,62,33,138,True,[]
20,SKU-BENCH-0020,200,133,67,29,133,True,[]
