item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,109,91,48,109,True,[]
2,SKU-BENCH-0002,200,116,84,36,116,True,[]
3,SKU-BENCH-0003,200,107,93,29,107,True,[]
4,SKU-BENCH-0004,200,69,131,23,69,True,[]
5,SKU-BENCH-0005,200,103,97,36,103,True,[]
6,SKU-BENCH-0006,200,82,118,42,82,True,[]
7,SKU-BENCH-0007,200,139,61,37,139,True,[]
8,SKU-BENCH-0008,200,96,104,44,96,True,[]
9,SKU-BENCH-0009,200,81,119,42,81,True,[]
10,SKU-BENCH-0010,200,73,127,34,73,True,[]
11,SKU-BENCH-0011,200,123,77,37,123,True,[]
12,SKU-BENCH-0012,200,123,77,29,123,True,[]
13,SKU-BENCH-0013,200,97,103,27,97,True,[]
14,SKU-BENCH-0014,200,110,90,17,110,True,[]
15,SKU-BENCH-0015,200,96,104,26,96,True,[]
16,SKU-BENCH-0016,200,103,97,50,103,True,[]
17,SKU-BENCH-0017,200,114,86,18,114,True,[]
18,SKU-BENCH-0018,200,100,100,26,100,True,[]
19,SKU-BENCH-0019,200,92,108,27,92,True,[]
20,SKU-BENCH-0020,200,115,85,35,115,True,[]
