item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,134,66,31,134,True,[]
2,SKU-BENCH-0002,200,136,64,56,136,True,[]
3,SKU-BENCH-0003,200,113,87,39,113,True,[]
4,SKU-BENCH-0004,200,147,53,33,147,True,[]
5,SKU-BENCH-0005,200,116,84,39,116,True,[]
6,SKU-BENCH-0006,200,102,98,38,102,True,[]
7,SKU-BENCH-0007,200,113,87,41,113,True,[]
8,SKU-BENCH-0008,200,104,96,32,104,True,[]
9,SKU-BENCH-0009,200,107,93,25,107,True,[]
10,SKU-BENCH-0010,200,100,100,17,100,True,[]
11,SKU-BENCH-0011,200,77,123,16,77,True,[]
12,SKU-BENCH-0012,200,98,102,40,98,True,[]
13,SKU-BENCH-0013,200,113,87,31,113,True,[]
14,SKU-BENCH-0014,200,123,77,21,123,True,[]
15,SKU-BENCH-0015,200,110,90,27,110,True,[]
16,SKU-BENCH-0016,200,104,96,24,104,True,[]
17,SKU-BENCH-0017,200,126,74,34,126,True,[]
18,SKU-BENCH-0018,200,107,93,24,107,True,[]
19,SKU-BENCH-0019,200,112,88,52,112,True,[]
20,SKU-BENCH-0020,200,143,57,31,143,True,[]
