item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,85,115,30,85,True,[]
2,SKU-BENCH-0002,200,101,99,21,101,True,[]
3,SKU-BENCH-0003,200,105,95,36,105,True,[]
4,SKU-BENCH-0004,200,95,105,58,95,True,[]
5,SKU-BENCH-0005,200,98,102,29,98,True,[]
6,SKU-BENCH-0006,200,92,108,19,92,True,[]
7,SKU-BENCH-0007,200,125,75,53,125,True,[]
8,SKU-BENCH-0008,200,110,90,33,110,True,[]
9,SKU-BENCH-0009,200,103,97,17,103,True,[]
10,SKU-BENCH-0010,200,107,93,40,107,True,[]
11,SKU-BENCH-0011,200,111,89,36,111,True,[]
12,SKU-BENCH-0012,200,105,95,23,105,True,[]
13,SKU-BENCH-0013,200,99,101,24,99,True,[]
14,SKU-BENCH-0014,200,99,101,26,99,True,[]
15,SKU-BENCH-0015,200,117,83,33,117,True,[]
16,SKU-BENCH-0016,200,102,98,24,102,True,[]
17,SKU-BENCH-0017,200,87,113,37,87,True,[]
18,SKU-BENCH-0018,200,107,93,26,107,True,[]
19,SKU-BENCH-0019,200,100,100,30,100,True,[]
20,SKU-BENCH-0020,200,107,93,45,107,True,[]
