Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items [GET],1003,0,160,163.86136809407603,55.83910003770143,380.77599997632205,4341.1674975074775,71.59092103336368,0.0,160,170,180,180,200,220,250,280,370,380,380
GET,/items/:id [GET],956,0,160,159.6287601486396,48.809099942445755,410.7611000072211,214.98535564853557,68.23621187227884,0.0,160,160,170,180,190,210,240,260,410,410,410
POST,/items/:id/reserve [POST],1140,37,180,180.58665307052843,70.76410006266087,430.5327999172732,167.10438596491227,81.36954135397268,2.640941254471043,180,190,190,200,220,240,260,300,370,430,430
GET,/metrics/consistency [GET],155,0,180,181.26178709414577,103.55570004321635,371.3025999022648,4411.309677419355,11.063402552513828,0.0,180,180,190,200,220,260,280,320,370,370,370
POST,/reservations/:id/release [POST],327,0,180,190.3680905216268,100.8733999915421,331.44420001190156,123.76146788990826,23.34021054627111,0.0,180,190,200,210,230,250,300,310,330,330,330
,Aggregated,3581,37,170,171.22948170930596,48.809099942445755,430.5327999172732,1528.745881038816,255.60028735840012,2.640941254471043,170,180,190,190,210,230,260,290,370,430,430
