Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787509826,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787509827,5,,Aggregated,0.000000,0.000000,10,12,13,13,14,16,17,25,26,26,26,177,0,10,10.262946886968098,3.913799999281764,26.17229998577386,1610.2146892655367
1787509828,5,,Aggregated,0.000000,0.000000,10,11,13,13,14,16,17,18,26,26,26,359,1,10,9.919604452905403,3.5526000428944826,26.17229998577386,1441.3091922005572
1787509829,5,,Aggregated,81.000000,0.000000,10,11,13,13,15,16,17,18,26,26,26,531,4,10,9.94292918764574,3.3629999961704016,26.17229998577386,1480.24670433145
1787509830,5,,Aggregated,131.000000,0.000000,10,11,12,13,15,16,17,18,32,32,32,713,4,10,9.924139971498708,3.3629999961704016,31.85030003078282,1581.336605890603
1787509831,5,,Aggregated,147.333333,1.000000,10,11,12,13,15,16,17,18,32,32,32,885,8,10,9.893247119735106,3.3629999961704016,31.85030003078282,1553.8101694915254
1787509832,5,,Aggregated,154.750000,1.000000,10,11,12,13,15,16,17,18,31,32,32,1062,8,10,9.888650942308804,3.3629999961704016,31.85030003078282,1509.7306967984935
1787509833,5,,Aggregated,160.200000,1.200000,10,11,12,13,15,16,17,18,31,32,32,1240,8,10,9.85849500077987,3.272100002504885,31.85030003078282,1507.3459677419355
1787509834,5,,Aggregated,161.166667,1.333333,10,11,12,13,15,16,17,18,31,32,32,1412,9,10,9.88916579458174,3.272100002504885,31.85030003078282,1502.6997167138811
1787509835,5,,Aggregated,163.857143,1.142857,10,11,12,13,15,16,17,18,31,32,32,1599,11,10,9.844218887836604,3.272100002504885,31.85030003078282,1515.5422138836773
1787509836,5,,Aggregated,165.250000,1.125000,10,11,12,13,15,16,17,18,31,32,32,1781,14,10,9.84925912503061,3.272100002504885,31.85030003078282,1514.4755755193712
1787509837,5,,Aggregated,166.555556,1.222222,10,11,12,13,15,16,17,18,31,32,32,1959,15,10,9.848242471621655,3.272100002504885,31.85030003078282,1527.730474732006
1787509838,5,,Aggregated,168.600000,1.100000,10,11,12,13,15,16,17,18,26,32,32,2132,15,10,9.86890365925703,3.272100002504885,31.85030003078282,1526.3527204502814
1787509839,5,,Aggregated,177.800000,1.400000,10,11,12,13,15,16,17,18,26,32,32,2312,18,10,9.840019594140392,3.272100002504885,31.85030003078282,1521.1423010380622
1787509840,5,,Aggregated,177.700000,1.500000,10,11,12,13,14,16,17,18,26,32,32,2497,19,10,9.80302551122547,3.272100002504885,31.85030003078282,1500.2755306367642
