Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items [GET],348,0,35,32.885616954319694,5.266000051051378,97.764499951154,4337.166666666667,86.67638203082022,0.0,35,38,40,43,50,55,62,92,98,98,98
GET,/items/:id [GET],372,0,33,30.12703710281971,4.219199996441603,94.54410010948777,214.73655913978496,92.65406355018713,0.0,33,36,38,40,44,50,55,62,95,95,95
POST,/items/:id/reserve [POST],405,12,46,44.49881456740614,9.379000053741038,109.5492000458762,166.9185185185185,100.87337563931663,2.988840759683456,46,52,55,57,65,72,93,100,110,110,110
GET,/metrics/consistency [GET],47,0,48,44.23399148211676,15.656800009310246,102.98580001108348,4398.914893617021,11.706292975426868,0.0,48,53,57,59,68,71,100,100,100,100,100
POST,/reservations/:id/release [POST],123,0,51,48.93500651270757,10.8022999484092,118.07990004308522,123.57723577235772,30.63561778675542,0.0,51,58,62,64,72,79,100,110,120,120,120
,Aggregated,1295,12,37,37.66137127635073,4.219199996441603,118.07990004308522,1450.7853281853281,322.54573198250625,2.988840759683456,37,44,49,52,60,67,84,98,110,120,120
