Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items [GET],191,0,7,8.06249633641104,4.318700055591762,45.161599991843104,4329.246073298429,47.485660803017794,0.0,7,9,10,10,11,12,13,14,45,45,45
GET,/items/:id [GET],211,0,7,7.027857343255767,3.402199945412576,13.11380008701235,214.44075829383885,52.45798130595159,0.0,7,8,9,9,10,10,11,12,13,13,13
POST,/items/:id/reserve [POST],203,8,12,12.139226597839315,4.383499966934323,48.918799962848425,166.50738916256157,50.46905310477807,1.98892820117352,12,13,13,14,15,16,17,18,49,49,49
GET,/metrics/consistency [GET],34,0,11,14.425285290652777,8.365999907255173,56.22409994248301,4387.588235294118,8.45294485498746,0.0,12,13,14,15,16,54,56,56,56,56,56
POST,/reservations/:id/release [POST],63,0,14,13.751284132475062,9.233799995854497,19.805900054052472,122.93650793650794,15.66280958424147,0.0,14,15,16,16,17,17,18,20,20,20,20
,Aggregated,702,8,9,9.749100141411652,3.402199945412576,56.22409994248301,1514.0413105413106,174.52844965297638,1.98892820117352,9,11,12,13,14,16,17,18,56,56,56
