Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787511549,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787511550,5,,Aggregated,0.000000,0.000000,9,11,12,13,14,17,48,54,56,56,56,172,0,9,10.623742440488016,3.6683999933302402,56.22409994248301,1796.8953488372092
1787511551,5,,Aggregated,0.000000,0.000000,10,11,12,13,15,16,18,48,56,56,56,341,2,10,10.366395306350155,3.6175999557599425,56.22409994248301,1593.6539589442816
1787511552,5,,Aggregated,112.000000,0.000000,9,11,12,13,14,16,17,20,56,56,56,518,6,9,9.937363319614953,3.402199945412576,56.22409994248301,1537.0888030888032
1787511553,5,,Aggregated,142.500000,1.000000,9,11,12,13,14,16,17,18,56,56,56,702,8,9,9.749100141411652,3.402199945412576,56.22409994248301,1514.0413105413106
