Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items [GET],1194,0,140,131.84873785350123,36.157900001853704,203.88250006362796,4340.974874371859,85.07884551108936,0.0,140,140,140,150,150,160,160,170,190,200,200
GET,/items/:id [GET],1163,0,130,130.24612949263812,29.46029999293387,290.9681999590248,214.98624247635425,82.86993076163895,0.0,130,140,140,140,150,150,160,170,250,290,290
POST,/items/:id/reserve [POST],1442,44,150,147.01978384248136,50.78990000765771,308.881500037387,167.3502080443828,102.7501635066925,3.135233837929591,150,160,160,160,170,170,180,180,300,310,310
GET,/metrics/consistency [GET],199,0,150,146.7396939669422,45.33550003543496,254.03309997636825,4412.773869346734,14.179807585181559,0.0,150,150,160,160,170,180,180,200,250,250,250
POST,/reservations/:id/release [POST],357,0,160,154.53138123351184,69.43909998517483,200.28290001209825,123.50140056022408,25.438147275928728,0.0,160,160,170,170,180,180,190,190,200,200,200
,Aggregated,4355,44,140,138.9839430763862,29.46029999293387,308.881500037387,1514.7425947187141,310.3168946405311,3.135233837929591,140,150,150,160,160,170,180,180,290,310,310
